map_key,x,y,terrain_key,elevation_m,road_class,road_links,river_class,river_links,settlement_level,has_bridge,source_status,notes
point_alpha_corridor,0,0,woods,375,0,0,0,0,0,0,draft,
point_alpha_corridor,1,0,woods,365,0,0,0,0,0,0,draft,
point_alpha_corridor,2,0,woods,330,0,0,0,0,0,0,draft,
point_alpha_corridor,3,0,woods,290,0,0,1,18,0,0,draft,
point_alpha_corridor,4,0,woods,308,0,0,1,16,0,0,draft,
point_alpha_corridor,5,0,woods,335,0,0,0,0,0,0,draft,
point_alpha_corridor,6,0,cultivated,349,0,0,1,0,0,0,draft,
point_alpha_corridor,7,0,cultivated,352,0,0,0,0,0,0,draft,
point_alpha_corridor,8,0,cultivated,351,0,0,0,0,0,0,draft,
point_alpha_corridor,9,0,cultivated,353,0,0,0,0,0,0,draft,
point_alpha_corridor,10,0,cultivated,362,1,12,0,0,0,0,draft,
point_alpha_corridor,11,0,cultivated,368,1,32,0,0,0,0,draft,
point_alpha_corridor,12,0,cultivated,368,1,0,0,0,0,0,draft,
point_alpha_corridor,13,0,cultivated,361,0,0,0,0,0,0,draft,
point_alpha_corridor,14,0,cultivated,353,0,0,0,0,0,0,draft,
point_alpha_corridor,15,0,cultivated,350,0,0,0,0,0,0,draft,
point_alpha_corridor,16,0,cultivated,346,0,0,0,0,0,0,draft,
point_alpha_corridor,17,0,cultivated,342,0,0,0,0,0,0,draft,
point_alpha_corridor,18,0,cultivated,339,1,0,0,0,0,0,draft,
point_alpha_corridor,19,0,cultivated,334,1,4,0,0,0,0,draft,
point_alpha_corridor,20,0,cultivated,330,1,12,0,0,0,0,draft,
point_alpha_corridor,21,0,cultivated,322,1,50,0,0,0,0,draft,
point_alpha_corridor,22,0,urban,325,1,16,0,0,1,0,draft,
point_alpha_corridor,23,0,urban,324,0,0,0,0,2,0,draft,
point_alpha_corridor,24,0,urban,318,1,4,0,0,3,0,draft,
point_alpha_corridor,25,0,urban,312,1,36,1,8,3,1,draft,
point_alpha_corridor,26,0,urban,319,0,0,0,0,3,0,draft,
point_alpha_corridor,27,0,urban,329,0,0,0,0,3,0,draft,
point_alpha_corridor,28,0,cultivated,332,0,0,0,0,0,0,draft,
point_alpha_corridor,29,0,cultivated,334,0,0,0,0,0,0,draft,
point_alpha_corridor,30,0,cultivated,333,1,4,0,0,0,0,draft,
point_alpha_corridor,31,0,cultivated,330,1,54,0,0,0,0,draft,
point_alpha_corridor,32,0,cultivated,336,1,16,0,0,0,0,draft,
point_alpha_corridor,33,0,cultivated,343,0,0,0,0,0,0,draft,
point_alpha_corridor,34,0,cultivated,347,1,0,0,0,0,0,draft,
point_alpha_corridor,35,0,cultivated,352,0,0,0,0,0,0,draft,
point_alpha_corridor,36,0,cultivated,355,0,0,0,0,0,0,draft,
point_alpha_corridor,37,0,cultivated,363,0,0,0,0,0,0,draft,
point_alpha_corridor,38,0,woods,362,1,0,0,0,0,0,draft,
point_alpha_corridor,39,0,cultivated,365,1,2,0,0,0,0,draft,
point_alpha_corridor,40,0,cultivated,355,1,24,0,0,0,0,draft,
point_alpha_corridor,41,0,cultivated,360,0,0,0,0,0,0,draft,
