map_key,feature_id,feature_type,feature_class,sequence,easting_m,northing_m,source_status
point_alpha_corridor,0,road,1,0,556674.52,5616809.853,draft
point_alpha_corridor,0,road,1,1,556793.867,5616797.267,draft
point_alpha_corridor,0,road,1,2,556827.797,5616801.96,draft
point_alpha_corridor,0,road,1,3,556853.623,5616811.492,draft
point_alpha_corridor,0,road,1,4,556882.308,5616828.087,draft
point_alpha_corridor,0,road,1,5,556942.251,5616882.346,draft
point_alpha_corridor,1,road,1,0,554645.162,5614388.801,draft
point_alpha_corridor,1,road,1,1,554670.532,5614322.266,draft
point_alpha_corridor,1,road,1,2,554692.644,5614279.369,draft
point_alpha_corridor,1,road,1,3,554718.41,5614235.132,draft
point_alpha_corridor,1,road,1,4,554763.759,5614206.214,draft
point_alpha_corridor,1,road,1,5,554804.237,5614172.223,draft
point_alpha_corridor,1,road,1,6,554850.128,5614093.85,draft
point_alpha_corridor,1,road,1,7,554926.215,5613978.724,draft
point_alpha_corridor,2,road,1,0,560685.352,5610912.904,draft
point_alpha_corridor,2,road,1,1,560683.87,5610860.362,draft
point_alpha_corridor,2,road,1,2,560680.655,5610816.607,draft
point_alpha_corridor,2,road,1,3,560655.99,5610772.946,draft
point_alpha_corridor,2,road,1,4,560591.856,5610697.504,draft
point_alpha_corridor,2,road,1,5,560536.287,5610638.737,draft
point_alpha_corridor,2,road,1,6,560440.823,5610541.475,draft
point_alpha_corridor,2,road,1,7,560359.491,5610478.393,draft
point_alpha_corridor,2,road,1,8,560284.875,5610426.327,draft
point_alpha_corridor,2,road,1,9,560167.354,5610299.846,draft
point_alpha_corridor,2,road,1,10,560133.154,5610259.121,draft
point_alpha_corridor,2,road,1,11,559980.332,5610096.897,draft
point_alpha_corridor,2,road,1,12,559954.953,5610065.358,draft
point_alpha_corridor,2,road,1,13,559926.756,5610024.755,draft
point_alpha_corridor,2,road,1,14,559902.662,5609979.231,draft
point_alpha_corridor,2,road,1,15,559814.207,5609801.302,draft
point_alpha_corridor,3,road,1,0,561034.324,5611171.103,draft
point_alpha_corridor,3,road,1,1,561156.402,5611122.544,draft
point_alpha_corridor,3,road,1,2,561183.574,5611115.09,draft
point_alpha_corridor,3,road,1,3,561209.705,5611109.616,draft
point_alpha_corridor,3,road,1,4,561236.694,5611111.165,draft
point_alpha_corridor,4,road,1,0,561104.388,5611811.01,draft
point_alpha_corridor,4,road,1,1,561112.802,5611840.203,draft
point_alpha_corridor,4,road,1,2,561120.541,5611853.37,draft
point_alpha_corridor,4,road,1,3,561136.323,5611864.699,draft
point_alpha_corridor,4,road,1,4,561205.229,5611921.141,draft
point_alpha_corridor,4,road,1,5,561331.18,5612026.778,draft
point_alpha_corridor,5,road,1,0,560363.759,5614747.989,draft
point_alpha_corridor,5,road,1,1,560343.667,5614625.706,draft
point_alpha_corridor,5,road,1,2,560347.623,5614578.75,draft
point_alpha_corridor,5,road,1,3,560352.56,5614532.816,draft
point_alpha_corridor,5,road,1,4,560373.55,5614337.093,draft
point_alpha_corridor,5,road,1,5,560373.46,5614302.153,draft
point_alpha_corridor,5,road,1,6,560363.572,5614267.53,draft
point_alpha_corridor,5,road,1,7,560310.921,5614168.693,draft
point_alpha_corridor,5,road,1,8,560298.404,5614144.42,draft
point_alpha_corridor,5,road,1,9,560290.991,5614115.248,draft
point_alpha_corridor,5,road,1,10,560290.903,5614064.817,draft
point_alpha_corridor,5,road,1,11,560309.365,5613938.095,draft
point_alpha_corridor,5,road,1,12,560308.439,5613853.345,draft
point_alpha_corridor,5,road,1,13,560296.335,5613797.494,draft
point_alpha_corridor,5,road,1,14,560278.829,5613746.829,draft
point_alpha_corridor,5,road,1,15,560214.286,5613605.303,draft
point_alpha_corridor,5,road,1,16,560191.355,5613551.796,draft
point_alpha_corridor,5,road,1,17,560179.164,5613511.518,draft
point_alpha_corridor,5,road,1,18,560134.822,5613280.442,draft
point_alpha_corridor,6,road,1,0,560685.352,5610912.904,draft
point_alpha_corridor,6,road,1,1,560767.892,5610973.575,draft
point_alpha_corridor,6,road,1,2,560885.467,5611059.997,draft
point_alpha_corridor,6,road,1,3,560955.536,5611108.456,draft
point_alpha_corridor,6,road,1,4,561034.324,5611171.103,draft
point_alpha_corridor,7,road,1,0,560134.822,5613280.442,draft
point_alpha_corridor,7,road,1,1,559902.465,5613387.806,draft
point_alpha_corridor,7,road,1,2,559803.537,5613429.83,draft
point_alpha_corridor,7,road,1,3,559764.3,5613440.041,draft
point_alpha_corridor,7,road,1,4,559732.187,5613444.392,draft
point_alpha_corridor,7,road,1,5,559703.238,5613440.802,draft
point_alpha_corridor,7,road,1,6,559685.374,5613433.434,draft
point_alpha_corridor,7,road,1,7,559669.755,5613414.102,draft
point_alpha_corridor,7,road,1,8,559665.282,5613387.991,draft
point_alpha_corridor,7,road,1,9,559662.768,5613363.922,draft
point_alpha_corridor,7,road,1,10,559674.979,5613157.013,draft
point_alpha_corridor,8,road,1,0,560363.759,5614747.989,draft
point_alpha_corridor,8,road,1,1,560327.668,5614744.846,draft
point_alpha_corridor,8,road,1,2,560293.79,5614751.388,draft
point_alpha_corridor,8,road,1,3,560264.584,5614765.257,draft
point_alpha_corridor,8,road,1,4,560239.853,5614796.089,draft
point_alpha_corridor,8,road,1,5,560129.25,5615138.523,draft
point_alpha_corridor,8,road,1,6,560101.376,5615205.446,draft
point_alpha_corridor,8,road,1,7,560071.729,5615240.999,draft
point_alpha_corridor,8,road,1,8,560035.099,5615264.358,draft
point_alpha_corridor,8,road,1,9,559976.932,5615280.049,draft
point_alpha_corridor,8,road,1,10,559930.909,5615291.165,draft
point_alpha_corridor,8,road,1,11,559896.786,5615309.755,draft
point_alpha_corridor,8,road,1,12,559862.517,5615335.572,draft
point_alpha_corridor,8,road,1,13,559452.76,5615691.209,draft
point_alpha_corridor,8,road,1,14,559413.328,5615733.794,draft
point_alpha_corridor,8,road,1,15,559368.883,5615785.919,draft
point_alpha_corridor,8,road,1,16,559309.687,5615852.206,draft
point_alpha_corridor,8,road,1,17,559250.981,5615894.399,draft
point_alpha_corridor,8,road,1,18,559194.978,5615922.185,draft
point_alpha_corridor,8,road,1,19,559127.173,5615937.68,draft
point_alpha_corridor,8,road,1,20,559059.613,5615941.128,draft
point_alpha_corridor,8,road,1,21,558958.518,5615934.252,draft
point_alpha_corridor,8,road,1,22,558898.431,5615925.8,draft
point_alpha_corridor,8,road,1,23,558840.557,5615927.034,draft
point_alpha_corridor,8,road,1,24,558792.174,5615935.692,draft
point_alpha_corridor,8,road,1,25,558663.175,5615972.401,draft
point_alpha_corridor,8,road,1,26,558610.346,5615987.435,draft
point_alpha_corridor,8,road,1,27,558549.867,5615998.258,draft
point_alpha_corridor,8,road,1,28,558491.993,5615999.492,draft
point_alpha_corridor,8,road,1,29,558441.495,5615993.645,draft
point_alpha_corridor,8,road,1,30,558391.143,5615980.57,draft
point_alpha_corridor,8,road,1,31,558304.896,5615954.713,draft
point_alpha_corridor,8,road,1,32,558259.265,5615946.555,draft
point_alpha_corridor,8,road,1,33,558220.715,5615945.771,draft
point_alpha_corridor,8,road,1,34,558138.699,5615948.925,draft
point_alpha_corridor,8,road,1,35,558095.429,5615943.225,draft
point_alpha_corridor,8,road,1,36,558059.582,5615928.034,draft
point_alpha_corridor,8,road,1,37,558033.471,5615908.22,draft
point_alpha_corridor,8,road,1,38,557920.074,5615795.04,draft
point_alpha_corridor,8,road,1,39,557886.547,5615770.681,draft
point_alpha_corridor,8,road,1,40,557852.8,5615756.985,draft
point_alpha_corridor,8,road,1,41,557825.791,5615756.436,draft
point_alpha_corridor,8,road,1,42,557788.676,5615760.685,draft
point_alpha_corridor,8,road,1,43,557746.499,5615767.834,draft
point_alpha_corridor,8,road,1,44,557707.671,5615764.005,draft
point_alpha_corridor,8,road,1,45,557644.525,5615744.187,draft
point_alpha_corridor,8,road,1,46,557419.93,5615685.139,draft
point_alpha_corridor,8,road,1,47,557385.142,5615673.423,draft
point_alpha_corridor,8,road,1,48,557339.187,5615669.487,draft
point_alpha_corridor,8,road,1,49,557169.401,5615670.982,draft
point_alpha_corridor,8,road,1,50,557117.887,5615675.997,draft
point_alpha_corridor,8,road,1,51,557092.98,5615670.487,draft
point_alpha_corridor,8,road,1,52,557050.888,5615639.446,draft
point_alpha_corridor,8,road,1,53,556983.471,5615569.232,draft
point_alpha_corridor,8,road,1,54,556942.092,5615520.73,draft
point_alpha_corridor,8,road,1,55,556916.829,5615469.789,draft
point_alpha_corridor,8,road,1,56,556892.749,5615395.013,draft
point_alpha_corridor,8,road,1,57,556880.323,5615355.043,draft
point_alpha_corridor,8,road,1,58,556875.648,5615324.498,draft
point_alpha_corridor,8,road,1,59,556892.12,5615295.707,draft
point_alpha_corridor,8,road,1,60,556907.403,5615260.271,draft
point_alpha_corridor,8,road,1,61,556913.531,5615219.354,draft
point_alpha_corridor,8,road,1,62,556917.2,5615169.12,draft
point_alpha_corridor,8,road,1,63,556910.066,5615129.257,draft
point_alpha_corridor,8,road,1,64,556889.645,5615091.772,draft
point_alpha_corridor,8,road,1,65,556826.551,5615041.6,draft
