mobility_key,terrain_key,passable,quick_cost,tactical_cost,hunt_cost
tracked,clear,1,8,10,15
tracked,woods,1,22,24,19
tracked,rough,1,18,20,23
tracked,marsh,1,34,38,43
tracked,water,0,,,
tracked,urban,1,16,18,20
tracked,cultivated,1,10,12,16
wheeled,clear,1,10,12,17
wheeled,woods,1,32,35,27
wheeled,rough,1,28,30,34
wheeled,marsh,0,,,
wheeled,water,0,,,
wheeled,urban,1,18,20,22
wheeled,cultivated,1,14,16,20
foot,clear,1,16,18,22
foot,woods,1,20,21,19
foot,rough,1,20,22,24
foot,marsh,1,27,30,34
foot,water,0,,,
foot,urban,1,18,19,20
foot,cultivated,1,17,19,22
towed,clear,1,12,14,20
towed,woods,1,36,40,34
towed,rough,1,32,35,39
towed,marsh,0,,,
towed,water,0,,,
towed,urban,1,22,24,27
towed,cultivated,1,17,19,23
mixed,clear,1,11,13,18
mixed,woods,1,30,33,27
mixed,rough,1,27,30,34
mixed,marsh,1,38,42,47
mixed,water,0,,,
mixed,urban,1,20,22,24
mixed,cultivated,1,15,17,21
