mobility_key,river_class,crossing_type,requires_amphibious,quick_cost,tactical_cost,hunt_cost
tracked,1,bridge,0,2,3,4
tracked,1,ford,0,10,12,15
tracked,1,none,0,6,8,10
tracked,2,bridge,0,2,3,4
tracked,2,ford,0,10,12,15
tracked,2,none,1,30,34,38
tracked,3,bridge,0,2,3,4
tracked,3,ford,0,10,12,15
tracked,3,none,1,42,48,54
wheeled,1,bridge,0,2,3,4
wheeled,1,ford,0,10,12,15
wheeled,1,none,0,6,8,10
wheeled,2,bridge,0,2,3,4
wheeled,2,ford,0,10,12,15
wheeled,2,none,1,30,34,38
wheeled,3,bridge,0,2,3,4
wheeled,3,ford,0,10,12,15
wheeled,3,none,1,42,48,54
foot,1,bridge,0,2,3,4
foot,1,ford,0,10,12,15
foot,1,none,0,6,8,10
foot,2,bridge,0,2,3,4
foot,2,ford,0,10,12,15
foot,2,none,1,30,34,38
foot,3,bridge,0,2,3,4
foot,3,ford,0,10,12,15
foot,3,none,1,42,48,54
towed,1,bridge,0,2,3,4
towed,1,ford,0,10,12,15
towed,1,none,0,6,8,10
towed,2,bridge,0,2,3,4
towed,2,ford,0,10,12,15
towed,2,none,1,30,34,38
towed,3,bridge,0,2,3,4
towed,3,ford,0,10,12,15
towed,3,none,1,42,48,54
mixed,1,bridge,0,2,3,4
mixed,1,ford,0,10,12,15
mixed,1,none,0,6,8,10
mixed,2,bridge,0,2,3,4
mixed,2,ford,0,10,12,15
mixed,2,none,1,30,34,38
mixed,3,bridge,0,2,3,4
mixed,3,ford,0,10,12,15
mixed,3,none,1,42,48,54
