map_key,x,y,neighbor_x,neighbor_y,river_class,crossing_type,source_status
point_alpha_corridor,0,2,0,3,1,none,derived
point_alpha_corridor,0,2,1,2,1,none,derived
point_alpha_corridor,0,16,0,17,1,bridge,derived
point_alpha_corridor,0,16,1,16,1,none,derived
point_alpha_corridor,0,17,1,16,1,none,derived
point_alpha_corridor,0,17,1,17,1,none,derived
point_alpha_corridor,0,18,1,17,1,none,derived
point_alpha_corridor,0,20,1,19,1,none,derived
point_alpha_corridor,0,36,1,36,1,none,derived
point_alpha_corridor,0,63,0,64,2,none,derived
point_alpha_corridor,0,64,1,63,2,none,derived
point_alpha_corridor,0,71,0,72,2,none,derived
point_alpha_corridor,0,72,1,71,2,none,derived
point_alpha_corridor,0,77,0,78,1,none,derived
point_alpha_corridor,0,78,1,77,1,none,derived
point_alpha_corridor,1,1,1,2,1,none,derived
point_alpha_corridor,1,1,2,2,1,none,derived
point_alpha_corridor,1,16,1,17,1,none,derived
point_alpha_corridor,1,17,1,18,1,none,derived
point_alpha_corridor,1,18,2,18,1,none,derived
point_alpha_corridor,1,19,1,20,1,bridge,derived
point_alpha_corridor,1,19,2,20,1,none,derived
point_alpha_corridor,1,20,2,20,1,none,derived
point_alpha_corridor,1,34,2,35,1,none,derived
point_alpha_corridor,1,35,1,36,1,none,derived
point_alpha_corridor,1,35,2,35,1,none,derived
point_alpha_corridor,1,35,2,36,1,none,derived
point_alpha_corridor,1,63,1,64,2,none,derived
point_alpha_corridor,1,63,2,64,2,none,derived
point_alpha_corridor,1,71,1,72,2,none,derived
point_alpha_corridor,1,71,2,72,2,none,derived
point_alpha_corridor,1,77,1,78,1,none,derived
point_alpha_corridor,1,77,2,78,1,none,derived
point_alpha_corridor,1,78,2,78,1,none,derived
point_alpha_corridor,2,0,3,0,1,none,derived
point_alpha_corridor,2,1,2,2,1,none,derived
point_alpha_corridor,2,1,3,0,1,none,derived
point_alpha_corridor,2,1,3,1,1,none,derived
point_alpha_corridor,2,18,2,19,1,none,derived
point_alpha_corridor,2,19,2,20,1,none,derived
point_alpha_corridor,2,19,3,18,1,none,derived
point_alpha_corridor,2,19,3,19,1,none,derived
point_alpha_corridor,2,20,2,21,1,none,derived
point_alpha_corridor,2,21,3,20,1,none,derived
point_alpha_corridor,2,21,3,21,1,none,derived
point_alpha_corridor,2,22,3,21,1,none,derived
point_alpha_corridor,2,22,3,22,1,none,derived
point_alpha_corridor,2,23,3,22,1,none,derived
point_alpha_corridor,2,23,3,23,1,none,derived
point_alpha_corridor,2,24,3,23,1,none,derived
point_alpha_corridor,2,34,2,35,1,none,derived
point_alpha_corridor,2,34,3,34,1,none,derived
point_alpha_corridor,2,62,3,62,2,bridge,derived
point_alpha_corridor,2,63,2,64,2,none,derived
point_alpha_corridor,2,63,3,63,2,none,derived
point_alpha_corridor,2,71,2,72,2,none,derived
point_alpha_corridor,2,72,3,71,2,none,derived
point_alpha_corridor,2,78,2,79,1,none,derived
point_alpha_corridor,2,79,3,78,1,none,derived
point_alpha_corridor,2,79,3,79,1,none,derived
point_alpha_corridor,3,0,4,0,1,none,derived
point_alpha_corridor,3,23,3,24,1,none,derived
point_alpha_corridor,3,24,4,24,1,bridge,derived
point_alpha_corridor,3,33,3,34,1,none,derived
point_alpha_corridor,3,33,4,34,1,none,derived
point_alpha_corridor,3,62,3,63,2,none,derived
point_alpha_corridor,3,62,4,63,2,none,derived
point_alpha_corridor,3,71,3,72,2,none,derived
point_alpha_corridor,3,72,4,72,2,none,derived
point_alpha_corridor,4,0,4,1,1,none,derived
point_alpha_corridor,4,0,5,0,1,none,derived
point_alpha_corridor,4,24,4,25,1,none,derived
point_alpha_corridor,4,25,5,24,1,none,derived
point_alpha_corridor,4,25,5,25,1,none,derived
point_alpha_corridor,4,26,5,25,1,none,derived
point_alpha_corridor,4,32,5,32,1,none,derived
point_alpha_corridor,4,33,4,34,1,none,derived
point_alpha_corridor,4,33,5,32,1,none,derived
point_alpha_corridor,4,33,5,33,1,none,derived
point_alpha_corridor,4,62,4,63,2,none,derived
point_alpha_corridor,4,62,5,62,2,none,derived
point_alpha_corridor,4,72,4,73,2,none,derived
point_alpha_corridor,4,72,5,72,2,none,derived
point_alpha_corridor,4,73,5,72,2,none,derived
point_alpha_corridor,5,25,5,26,1,none,derived
point_alpha_corridor,5,25,6,26,1,none,derived
point_alpha_corridor,5,30,6,31,1,none,derived
point_alpha_corridor,5,31,5,32,1,none,derived
point_alpha_corridor,5,31,6,31,1,none,derived
point_alpha_corridor,5,31,6,32,1,none,derived
point_alpha_corridor,5,60,6,61,2,none,derived
point_alpha_corridor,5,61,5,62,2,none,derived
point_alpha_corridor,5,61,6,61,2,none,derived
point_alpha_corridor,5,61,6,62,2,none,derived
point_alpha_corridor,5,72,5,73,2,none,derived
point_alpha_corridor,5,72,6,73,2,none,derived
point_alpha_corridor,5,73,6,73,2,none,derived
point_alpha_corridor,5,73,6,74,2,none,derived
point_alpha_corridor,5,74,5,75,2,none,derived
point_alpha_corridor,5,74,6,74,2,none,derived
point_alpha_corridor,5,74,6,75,2,none,derived
point_alpha_corridor,5,75,6,75,2,none,derived
point_alpha_corridor,5,75,6,76,2,none,derived
point_alpha_corridor,5,76,6,76,2,none,derived
point_alpha_corridor,6,25,6,26,1,none,derived
point_alpha_corridor,6,26,7,25,1,none,derived
point_alpha_corridor,6,26,7,26,1,none,derived
point_alpha_corridor,6,27,7,26,1,bridge,derived
point_alpha_corridor,6,27,7,27,1,none,derived
point_alpha_corridor,6,28,7,27,1,none,derived
point_alpha_corridor,6,30,6,31,1,none,derived
point_alpha_corridor,6,30,7,30,1,none,derived
point_alpha_corridor,6,60,6,61,2,none,derived
