map_key,x,y,direction,neighbor_x,neighbor_y,road_class,river_class,crossing_type,source_status
point_alpha_corridor,3,0,2,4,0,0,1,none,draft
point_alpha_corridor,3,0,16,2,1,0,1,none,draft
point_alpha_corridor,10,0,4,11,0,1,0,none,draft
point_alpha_corridor,10,0,8,10,1,1,0,none,draft
point_alpha_corridor,19,0,4,20,1,1,0,none,draft
point_alpha_corridor,20,0,4,21,0,1,0,none,draft
point_alpha_corridor,20,0,8,20,1,1,0,none,draft
point_alpha_corridor,21,0,2,22,0,1,0,none,draft
point_alpha_corridor,21,0,16,20,1,1,0,none,draft
point_alpha_corridor,24,0,4,25,0,1,0,none,draft
point_alpha_corridor,25,0,4,26,1,1,1,bridge,draft
point_alpha_corridor,25,0,8,25,1,0,1,none,draft
point_alpha_corridor,30,0,4,31,0,1,0,none,draft
point_alpha_corridor,31,0,2,32,0,1,0,none,draft
point_alpha_corridor,31,0,4,32,1,1,0,none,draft
point_alpha_corridor,31,0,16,30,1,1,0,none,draft
point_alpha_corridor,39,0,2,40,0,1,0,none,draft
point_alpha_corridor,40,0,8,40,1,1,0,none,draft
point_alpha_corridor,48,0,8,48,1,1,0,none,draft
point_alpha_corridor,61,0,2,62,0,0,1,none,draft
point_alpha_corridor,61,0,4,62,1,1,0,none,draft
point_alpha_corridor,61,0,8,61,1,1,0,none,draft
point_alpha_corridor,61,0,16,60,1,0,1,none,draft
point_alpha_corridor,62,0,4,63,0,0,1,none,draft
point_alpha_corridor,63,0,2,64,0,0,1,none,draft
point_alpha_corridor,63,0,4,64,1,1,0,none,draft
point_alpha_corridor,63,0,16,62,1,1,0,none,draft
point_alpha_corridor,64,0,4,65,0,0,1,none,draft
point_alpha_corridor,65,0,2,66,0,1,1,bridge,draft
point_alpha_corridor,65,0,4,66,1,0,1,none,draft
point_alpha_corridor,65,0,16,64,1,1,0,none,draft
point_alpha_corridor,66,0,8,66,1,0,1,none,draft
point_alpha_corridor,68,0,4,69,0,1,0,none,draft
point_alpha_corridor,69,0,8,69,1,1,3,none,draft
point_alpha_corridor,79,0,8,79,1,2,0,none,draft
point_alpha_corridor,80,0,8,80,1,0,1,none,draft
point_alpha_corridor,81,0,2,82,0,0,1,none,draft
point_alpha_corridor,82,0,4,83,0,0,1,none,draft
point_alpha_corridor,84,0,4,85,0,0,1,none,draft
point_alpha_corridor,85,0,2,86,0,1,1,none,draft
point_alpha_corridor,86,0,4,87,0,0,1,none,draft
point_alpha_corridor,87,0,4,88,1,1,1,none,draft
point_alpha_corridor,89,0,2,90,0,1,0,none,draft
point_alpha_corridor,89,0,16,88,1,1,0,none,draft
point_alpha_corridor,2,1,8,2,2,0,1,none,draft
point_alpha_corridor,9,1,2,10,1,1,0,none,draft
point_alpha_corridor,9,1,16,8,2,1,0,none,draft
point_alpha_corridor,19,1,2,20,1,1,0,none,draft
point_alpha_corridor,19,1,16,18,2,1,0,none,draft
point_alpha_corridor,25,1,8,25,2,0,1,none,draft
point_alpha_corridor,26,1,8,26,2,1,0,none,draft
point_alpha_corridor,27,1,4,28,2,1,0,none,draft
point_alpha_corridor,27,1,16,26,2,1,0,none,draft
point_alpha_corridor,28,1,4,29,1,1,0,none,draft
point_alpha_corridor,28,1,8,28,2,1,0,none,draft
point_alpha_corridor,29,1,2,30,1,1,0,none,draft
point_alpha_corridor,32,1,4,33,1,1,0,none,draft
point_alpha_corridor,33,1,2,34,1,1,0,none,draft
point_alpha_corridor,34,1,8,34,2,1,0,none,draft
point_alpha_corridor,39,1,4,40,2,1,0,none,draft
point_alpha_corridor,39,1,8,39,2,1,0,none,draft
point_alpha_corridor,40,1,8,40,2,1,0,none,draft
point_alpha_corridor,48,1,4,49,1,1,0,none,draft
point_alpha_corridor,49,1,4,50,2,1,0,none,draft
point_alpha_corridor,53,1,4,54,2,1,0,none,draft
point_alpha_corridor,53,1,8,53,2,1,0,none,draft
point_alpha_corridor,54,1,4,55,1,1,0,none,draft
point_alpha_corridor,54,1,8,54,2,1,0,none,draft
point_alpha_corridor,55,1,2,56,1,1,0,none,draft
point_alpha_corridor,56,1,8,56,2,1,0,none,draft
point_alpha_corridor,57,1,8,57,2,1,0,none,draft
point_alpha_corridor,57,1,16,56,2,1,0,none,draft
point_alpha_corridor,59,1,2,60,1,1,1,bridge,draft
point_alpha_corridor,59,1,8,59,2,0,1,none,draft
point_alpha_corridor,59,1,16,58,2,1,0,none,draft
point_alpha_corridor,60,1,4,61,1,1,0,none,draft
point_alpha_corridor,69,1,2,70,1,0,3,none,draft
point_alpha_corridor,69,1,8,69,2,1,0,none,draft
point_alpha_corridor,70,1,8,70,2,0,3,none,draft
point_alpha_corridor,79,1,4,80,2,0,1,none,draft
point_alpha_corridor,79,1,8,79,2,2,1,none,draft
point_alpha_corridor,80,1,8,80,2,0,1,none,draft
point_alpha_corridor,88,1,4,89,1,1,0,none,draft
point_alpha_corridor,88,1,8,88,2,0,1,none,draft
point_alpha_corridor,89,1,8,89,2,1,0,none,draft
point_alpha_corridor,0,2,4,1,2,0,1,none,draft
point_alpha_corridor,1,2,2,2,2,0,1,none,draft
point_alpha_corridor,1,2,4,2,3,1,0,none,draft
point_alpha_corridor,1,2,16,0,3,1,0,none,draft
point_alpha_corridor,7,2,2,8,2,1,0,none,draft
point_alpha_corridor,7,2,4,8,3,1,0,none,draft
point_alpha_corridor,7,2,16,6,3,1,0,none,draft
point_alpha_corridor,17,2,4,18,3,1,0,none,draft
point_alpha_corridor,17,2,8,17,3,1,0,none,draft
point_alpha_corridor,18,2,8,18,3,1,0,none,draft
point_alpha_corridor,25,2,2,26,2,1,1,bridge,draft
point_alpha_corridor,25,2,8,25,3,1,1,none,draft
point_alpha_corridor,34,2,4,35,2,1,0,none,draft
