type_id,faction,country,echelon,category,display_name,equipment,role,mobility,move_points,hard_attack,soft_attack,defense,range_cells,recon,command,availability_1985,notes,source_url,rating_status
us_hq_team_m577,NATO,USA,team,command,US mechanized headquarters,M577/M113,command and coordination,tracked,5,1,1,3,1,3,10,common,"Represents a company or battalion command element; command effects remain to be designed.",https://history.army.mil/portals/143/Images/Publications/catalog/101-17.pdf,provisional_design
us_tank_platoon_m1,NATO,USA,platoon,tank,US M1 tank platoon,M1 Abrams,direct-fire armor,tracked,6,9,6,9,4,3,1,fielding,"105 mm M1 baseline for 1985; do not treat as an M1A1.",https://history.army.mil/portals/143/Images/Publications/catalog/101-17.pdf,provisional_design
us_tank_platoon_m60a3,NATO,USA,platoon,tank,US M60A3 tank platoon,M60A3,direct-fire armor,tracked,5,7,6,7,4,2,1,common,"Still important in the 1985 US Army tank mix.",https://history.army.mil/portals/143/Images/Publications/catalog/101-17.pdf,provisional_design
us_mech_inf_platoon_m2,NATO,USA,platoon,mechanized_infantry,US Bradley mechanized infantry platoon,M2 Bradley,mounted infantry,tracked,6,6,8,7,6,4,1,fielding,"Bradley fielding was underway rather than universal in 1985.",https://www.benning.army.mil/armor/eARMOR/content/issues/1985/SEP_OCT/ArmorSeptemberOctober1985web.pdf,provisional_design
us_mech_inf_platoon_m113,NATO,USA,platoon,mechanized_infantry,US M113 mechanized infantry platoon,M113A1/M113A2,mounted infantry,tracked,5,3,7,5,2,3,1,common,"Represents formations not yet converted to Bradley.",https://history.army.mil/portals/143/Images/Publications/catalog/101-17.pdf,provisional_design
us_cavalry_platoon_m3,NATO,USA,platoon,reconnaissance,US armored cavalry platoon,M3 Bradley,armored reconnaissance,tracked,7,6,6,6,6,9,1,fielding,"Suitable for Bradley-equipped divisional or cavalry reconnaissance elements.",https://www.benning.army.mil/armor/eARMOR/content/issues/1985/SEP_OCT/ArmorSeptemberOctober1985web.pdf,provisional_design
us_atgm_team_tow,NATO,USA,team,anti_tank,US TOW anti-tank team,TOW/M901 ITV,long-range anti-tank,tracked,4,10,2,3,8,3,0,common,"May represent a mounted M901 section or dismounted TOW team depending on scenario.",https://history.redstone.army.mil/miss-tow.html,provisional_design
us_artillery_battery_m109,NATO,USA,battery,artillery,US M109 artillery battery,M109 155 mm,self-propelled fire support,tracked,4,3,10,3,30,0,0,common,"Intended primarily for indirect fire; range assumes 500 m map cells and is provisional.",https://history.army.mil/portals/143/Images/Publications/catalog/101-17.pdf,provisional_design
us_artillery_battery_m110,NATO,USA,battery,artillery,US M110 heavy artillery battery,M110 203 mm,heavy self-propelled fire support,tracked,3,4,12,3,34,0,0,common,"Likely represented as an off-map or rear-area support asset in smaller scenarios.",https://history.army.mil/portals/143/Images/Publications/catalog/101-17.pdf,provisional_design
us_air_defense_section_chaparral,NATO,USA,section,air_defense,US Chaparral air-defense section,M48 Chaparral,short-range air defense,tracked,5,0,2,3,16,2,0,common,"Air-defense values require a separate aircraft engagement model.",https://history.army.mil/portals/143/Images/Publications/catalog/101-17.pdf,provisional_design
us_air_defense_section_vulcan,NATO,USA,section,air_defense,US Vulcan air-defense section,M163 Vulcan,close air defense and ground fire,tracked,5,1,5,3,4,2,0,common,"Can provide limited direct fire against soft ground targets.",https://www.benning.army.mil/armor/eARMOR/content/issues/1985/SEP_OCT/ArmorSeptemberOctober1985web.pdf,provisional_design
de_hq_team_m577,NATO,West Germany,team,command,West German mechanized headquarters,M577/M113,command and coordination,tracked,5,1,1,3,1,3,10,common,"Generic command element pending formation-specific research.",https://www.bundeswehr.de/en/about-bundeswehr/history/history-german-army,provisional_design
de_tank_platoon_leopard2,NATO,West Germany,platoon,tank,West German Leopard 2 tank platoon,Leopard 2A1/A2,direct-fire armor,tracked,6,10,6,10,5,4,1,common,"Use early production variants appropriate to 1985 rather than later Leopard 2A4-plus capabilities.",https://www.bundeswehr.de/de/ausruestung-technik-bundeswehr/kampfpanzer-leopard-versionen-bundeswehr,provisional_design
de_tank_platoon_leopard1,NATO,West Germany,platoon,tank,West German Leopard 1 tank platoon,Leopard 1A1A1/A2/A3,direct-fire armor,tracked,6,7,6,6,4,3,1,common,"Variant should eventually be selected by formation.",https://tankmuseum.org/tank-nuts/tank-collection/leopard-1-main-battle-tank/,provisional_design
de_panzergrenadier_platoon_marder,NATO,West Germany,platoon,mechanized_infantry,West German Panzergrenadier platoon,Marder 1A1,mounted infantry,tracked,6,6,8,7,6,4,1,common,"Includes Marder cannon and platoon anti-tank capability in an abstract rating.",https://www.bundeswehr.de/en/organization/army/structure/branches/armoured-forces,provisional_design
de_recon_platoon_luchs,NATO,West Germany,platoon,reconnaissance,West German armored reconnaissance platoon,Spahpanzer Luchs,armored reconnaissance,wheeled,8,2,4,4,3,10,1,common,"Fast wheeled reconnaissance; umlauts are omitted from identifiers for tool compatibility.",https://www.bundeswehr.de/de/meldungen/bundeswehrgeraet-tiernamen-5321614,provisional_design
de_atgm_team_milan,NATO,West Germany,team,anti_tank,West German MILAN anti-tank team,MILAN,long-range anti-tank,foot,3,9,2,2,6,3,0,common,"May be attached to infantry or Panzergrenadier units.",https://www.bundeswehr.de/en/about-bundeswehr/history/history-german-army,provisional_design
de_artillery_battery_m109,NATO,West Germany,battery,artillery,West German M109 artillery battery,M109G 155 mm,self-propelled fire support,tracked,4,3,9,3,28,0,0,common,"Indirect-fire ratings and range are provisional.",https://www.bundeswehr.de/en/about-bundeswehr/history/history-german-army,provisional_design
